ID,Title,TimeandDate,Symbol,Data
0,"Notable Monday Option Activity: LNC, EXTR, BA",12/10/2018,LNC,"Where a total volume of 12,915 contracts has been traded thus far today, a contract volume which is representative of approximately 1.3 million underlying shares (given that every 1 contract represents 100 underlying shares. That number works out to 70.6% of LNC's average daily trading volume over the past month, of 1.8 million shares. Particularly high volume was seen for the $60 strike call option expiring January 18, 2019  , with 6,024 contracts trading so far today, representing approximately 602,400 underlying shares of LNC. Below is a chart showing LNC's trailing twelve month trading history, with the $60 strike highlighted in orange"
0,"Notable Monday Option Activity: LNC, EXTR, BA",12/10/2018,EXTR,"Options are showing a volume of 10,973 contracts thus far today. That number of contracts represents approximately 1.1 million underlying shares, working out to a sizeable 67.7% of EXTR's average daily trading volume over the past month, of 1.6 million shares. Particularly high volume was seen for the $6 strike put option expiring June 21, 2019  , with 9,508 contracts trading so far today, representing approximately 950,800 underlying shares of EXTR. Below is a chart showing EXTR's trailing twelve month trading history, with the $6 strike highlighted in orange"
0,"Notable Monday Option Activity: LNC, EXTR, BA",12/10/2018,BA,"Saw options trading volume of 30,500 contracts, representing approximately 3.0 million underlying shares or approximately 64.5% of BA's average daily trading volume over the past month, of 4.7 million shares. Especially high volume was seen for the $335 strike call option expiring December 14, 2018  , with 1,078 contracts trading so far today, representing approximately 107,800 underlying shares of BA. Below is a chart showing BA's trailing twelve month trading history, with the $335 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: GOOG, EA, DVA",12/10/2018,GOOG,"Where a total of 13,436 contracts have traded so far, representing approximately 1.3 million underlying shares. That amounts to about 72.8% of GOOG's average daily trading volume over the past month of 1.8 million shares. Particularly high volume was seen for the $1210 strike put option expiring January 18, 2019  , with 1,181 contracts trading so far today, representing approximately 118,100 underlying shares of GOOG. Below is a chart showing GOOG's trailing twelve month trading history, with the $1210 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: GOOG, EA, DVA",12/10/2018,EA,"Saw options trading volume of 32,285 contracts, representing approximately 3.2 million underlying shares or approximately 71.4% of EA's average daily trading volume over the past month, of 4.5 million shares. Especially high volume was seen for the $115 strike call option expiring March 15, 2019  , with 27,176 contracts trading so far today, representing approximately 2.7 million underlying shares of EA. Below is a chart showing EA's trailing twelve month trading history, with the $115 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: GOOG, EA, DVA",12/10/2018,DVA,"Options are showing a volume of 14,275 contracts thus far today. That number of contracts represents approximately 1.4 million underlying shares, working out to a sizeable 71.3% of DVA's average daily trading volume over the past month, of 2.0 million shares. Especially high volume was seen for the $67.50 strike call option expiring January 18, 2019  , with 6,728 contracts trading so far today, representing approximately 672,800 underlying shares of DVA. Below is a chart showing DVA's trailing twelve month trading history, with the $67.50 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: NFLX, AZO, NVDA",12/10/2018,NFLX,"Where a total of 72,836 contracts have traded so far, representing approximately 7.3 million underlying shares. That amounts to about 58.8% of NFLX's average daily trading volume over the past month of 12.4 million shares. Especially high volume was seen for the $260 strike put option expiring December 14, 2018  , with 3,628 contracts trading so far today, representing approximately 362,800 underlying shares of NFLX. Below is a chart showing NFLX's trailing twelve month trading history, with the $260 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: NFLX, AZO, NVDA",12/10/2018,AZO,"Options are showing a volume of 1,896 contracts thus far today. That number of contracts represents approximately 189,600 underlying shares, working out to a sizeable 47.7% of AZO's average daily trading volume over the past month, of 397,540 shares. Particularly high volume was seen for the $950 strike call option expiring December 28, 2018  , with 251 contracts trading so far today, representing approximately 25,100 underlying shares of AZO. Below is a chart showing AZO's trailing twelve month trading history, with the $950 strike highlighted in orange"
0,"Noteworthy Monday Option Activity: NFLX, AZO, NVDA",12/10/2018,NVDA,"Saw options trading volume of 100,110 contracts, representing approximately 10.0 million underlying shares or approximately 47% of NVDA's average daily trading volume over the past month, of 21.3 million shares. Particularly high volume was seen for the $150 strike put option expiring December 14, 2018  , with 5,348 contracts trading so far today, representing approximately 534,800 underlying shares of NVDA. Below is a chart showing NVDA's trailing twelve month trading history, with the $150 strike highlighted in orange"
0,Notable Two Hundred Day Moving Average Cross - FAST,12/10/2018,FAST,"Crossed below their 200 day moving average of $54.59, changing hands as low as $53.58 per share. Fastenal Co. shares are currently trading down about 2.4% on the day. The chart below shows the one year performance of FAST shares, versus its 200 day moving average"
